target_cov,actual_cov,seed,n_aware,n_naive,n_best
0.1,0.05216417910447761,21,3,0,5
0.1,0.05246268656716418,22,1,1,3
0.1,0.04567164179104478,23,2,1,5
0.1,0.04492537313432836,24,4,1,6
0.1,0.046492537313432836,25,2,2,6
0.1,0.05082089552238806,26,3,0,4
0.1,0.04783582089552239,27,5,2,8
0.1,0.05141791044776119,28,0,0,7
0.1,0.04753731343283582,29,4,1,6
0.1,0.045149253731343285,30,3,1,5
0.1,0.04582089552238806,31,5,2,7
0.1,0.042388059701492536,32,5,2,7
0.1,0.04298507462686567,33,2,0,5
0.1,0.04708955223880597,34,2,2,4
0.1,0.046417910447761196,35,2,1,5
0.1,0.051940298507462686,36,2,2,7
0.1,0.05156716417910448,37,0,1,5
0.1,0.049776119402985076,38,3,2,6
0.1,0.04805970149253731,39,4,3,6
0.15,0.0676865671641791,0,0,2,3
0.15,0.06805970149253732,1,0,1,5
0.15,0.07828358208955224,2,1,0,2
0.15,0.07679104477611941,3,0,0,3
0.15,0.06507462686567164,4,1,1,3
0.15,0.0662686567164179,5,0,1,3
0.15,0.07343283582089552,6,3,2,4
0.15,0.07,7,2,0,3
0.15,0.07216417910447762,8,0,0,3
0.15,0.0717910447761194,9,1,1,4
0.15,0.06432835820895523,10,0,0,3
0.15,0.07007462686567165,11,0,1,6
0.15,0.06597014925373135,12,1,2,4
0.15,0.06895522388059701,13,2,0,3
0.15,0.06477611940298507,14,1,1,3
0.15,0.07067164179104478,15,0,0,4
0.15,0.0732089552238806,16,0,0,4
0.15,0.07246268656716418,17,0,0,2
0.15,0.06858208955223881,18,0,0,2
0.15,0.07223880597014926,19,0,0,1
0.15,0.06604477611940299,20,0,0,4
0.15,0.06634328358208955,21,0,0,3
0.15,0.07492537313432836,22,0,0,2
0.15,0.07044776119402985,23,1,0,3
0.15,0.07171641791044776,24,0,0,2
0.15,0.0737313432835821,25,0,1,4
0.15,0.06761194029850746,26,1,1,2
0.15,0.06873134328358209,27,0,0,3
0.15,0.0732089552238806,28,0,0,0
0.15,0.06888059701492537,29,2,1,4
0.15,0.06917910447761194,30,2,1,2
0.15,0.07104477611940299,31,0,0,1
0.15,0.0735820895522388,32,2,0,3
0.15,0.07,33,1,0,2
0.15,0.07544776119402985,34,0,0,2
0.15,0.07007462686567165,35,0,0,3
0.15,0.0641044776119403,36,1,0,2
0.15,0.06402985074626866,37,1,0,3
0.15,0.07604477611940298,38,0,0,2
0.15,0.0691044776119403,39,0,0,2
0.25,0.11298507462686568,0,0,0,0
0.25,0.10917910447761194,1,0,0,0
0.25,0.11425373134328358,2,0,0,0
0.25,0.11186567164179105,3,0,0,0
0.25,0.11932835820895522,4,0,0,1
0.25,0.11365671641791045,5,0,0,1
0.25,0.11149253731343284,6,0,0,1
0.25,0.12776119402985076,7,0,0,0
0.25,0.11231343283582089,8,0,0,0
0.25,0.11619402985074627,9,0,0,1
0.25,0.12164179104477611,10,0,0,1
0.25,0.10955223880597015,11,0,0,0
0.25,0.11828358208955224,12,0,0,0
0.25,0.11776119402985075,13,0,0,1
0.25,0.11671641791044776,14,0,0,1
0.25,0.11805970149253732,15,0,0,0
0.25,0.11417910447761194,16,0,0,0
0.25,0.13,17,0,0,0
0.25,0.11186567164179105,18,0,0,0
0.25,0.12134328358208955,19,0,0,0
0.25,0.10992537313432836,20,0,0,1
0.25,0.11358208955223881,21,0,0,0
0.25,0.12134328358208955,22,0,0,1
0.25,0.11432835820895522,23,1,0,1
0.25,0.11917910447761194,24,0,0,1
0.25,0.12425373134328359,25,0,0,0
0.25,0.11462686567164179,26,0,0,0
0.25,0.12156716417910447,27,0,0,0
0.25,0.11201492537313433,28,0,0,0
0.25,0.1208955223880597,29,0,0,0
0.25,0.11298507462686568,30,0,0,1
0.25,0.1214179104477612,31,0,0,0
0.25,0.1108955223880597,32,0,0,0
0.25,0.12014925373134329,33,0,0,1
0.25,0.10298507462686567,34,0,0,0
0.25,0.11813432835820896,35,0,0,0
0.25,0.11664179104477612,36,0,0,0
0.25,0.11798507462686567,37,0,0,0
0.25,0.12201492537313433,38,0,0,0
0.25,0.12350746268656716,39,0,0,0
